2020-06-14 09:34:39.557927,1902985733,Android Developer,Solid GEAR,"<selenium.webdriver.remote.webelement.WebElement (session=""53891445ebea4794850c3019731ac83d"", element=""c84d3c5f-b4d1-4dc5-b0ce-f188126542b0"")>",True
2020-06-14 09:35:05.992529,1876929257,Android Engineer,Modern,"<selenium.webdriver.remote.webelement.WebElement (session=""53891445ebea4794850c3019731ac83d"", element=""198cc708-da61-4ba9-b7ea-849539fe80cf"")>",True
2020-06-14 09:35:21.399839,1869872970,Android Developer,Working Class Heroes,False,False
2020-06-14 09:35:36.800811,1864698667,Android Engineer,Albert,False,False
2020-06-14 09:35:57.495777,1863153678,Android Engineer,Depop,False,False
2020-06-14 09:36:30.109610,1837141137,Jr. Android Engineer,Mitchell Martin Inc.,"<selenium.webdriver.remote.webelement.WebElement (session=""53891445ebea4794850c3019731ac83d"", element=""df0ad038-624b-43b9-8862-f86b4268ada6"")>",False
2020-06-14 09:37:08.925813,1869499829,Android Engineer,Lawrence Harvey,"<selenium.webdriver.remote.webelement.WebElement (session=""53891445ebea4794850c3019731ac83d"", element=""391da6ce-ed66-49d4-8a8d-3f8b037cda33"")>",True
2020-06-14 09:56:43.048262,1755292327,Android Engineer,Explore Group,"<selenium.webdriver.remote.webelement.WebElement (session=""49dd5b165fa31b44069d9637b8d235ad"", element=""1d04e3b1-9392-4ee7-80a5-3210d9b437b4"")>",True
2020-06-14 09:57:16.351536,1877650139,Android Engineer,Holler,"<selenium.webdriver.remote.webelement.WebElement (session=""49dd5b165fa31b44069d9637b8d235ad"", element=""67f26d54-a9a4-4d44-b04d-d85f96631fcf"")>",False
2020-06-14 10:07:24.389825,1902184507,Android Developer,eNetworks Srl,"<selenium.webdriver.remote.webelement.WebElement (session=""4ddce731ef0be463913f7fa76e73515e"", element=""0b4eae88-ef5b-4fc5-9bbe-4343a1851a91"")>",True
2020-06-14 10:08:54.051187,1880431393,Principal Android Engineer,Tile,"<selenium.webdriver.remote.webelement.WebElement (session=""4ddce731ef0be463913f7fa76e73515e"", element=""a5dc5e55-50cc-4dcc-b010-644ef549ebb7"")>",True
2020-06-14 10:09:20.716777,1848837741,Android Developer,MessageNet,"<selenium.webdriver.remote.webelement.WebElement (session=""4ddce731ef0be463913f7fa76e73515e"", element=""bafcf57f-684b-43c7-b844-1baf4c8b6962"")>",True
